帧,流量,密度,速度平均值,TPI,>10替换,差分
2,10,10,21.548122417262306,4.346859779840022,4.346859779840022,0.21196234483902465
3,12,12,19.414696262655525,4.1348974350009975,4.1348974350009975,0.18414499617396896
4,12,12,20.952408195527013,3.9507524388270285,3.9507524388270285,0.09613346744893292
5,13,13,20.288679318456335,3.8546189713780956,3.8546189713780956,-0.24983190619902818
6,14,13,18.15682822053928,4.104450877577124,4.104450877577124,-0.9523380420173373
7,15,12,14.106448670800768,5.056788919594461,5.056788919594461,-0.4750621780228732
8,15,12,13.216391732344594,5.531851097617334,5.531851097617334,0.4197754844834778
9,17,14,12.887593597385898,5.1120756131338565,5.1120756131338565,-0.12111930096102252
10,18,13,12.1376175665539,5.233194914094879,5.233194914094879,0.12235418462301428
11,18,13,12.645596497840426,5.110840729471865,5.110840729471865,0.08518579863531617
12,18,12,13.044181595779293,5.025654930836549,5.025654930836549,0.11266821478373856
13,19,12,12.819586084888138,4.91298671605281,4.91298671605281,-2.091756990057979
14,19,12,9.141674614509508,7.004743706110789,7.004743706110789,0.6600563241359714
15,19,12,10.203314711640445,6.3446873819748175,6.3446873819748175,-1.7181878658353549
16,21,13,7.362767938298755,8.062875247810172,8.062875247810172,0.8984212284675168
17,22,13,8.03630778009239,7.164454019342656,7.164454019342656,-0.48199448770581466
18,22,11,7.628813988554538,7.64644850704847,7.64644850704847,0.11204196831873592
19,22,12,7.82269892610956,7.534406538729734,7.534406538729734,1.580284912079705
20,22,13,9.975264718829104,5.954121626650029,5.954121626650029,0.010069960827990165
21,22,14,10.094124912304617,5.944051665822039,5.944051665822039,-1.0939293027181893
22,24,15,7.873943807802145,7.037980968540229,7.037980968540229,0.6170643725622531
23,24,15,8.69553941384428,6.4209165959779755,6.4209165959779755,0.7215315369997706
24,25,15,9.451312046693678,5.699385058978205,5.699385058978205,0.5301938425678276
25,25,16,10.472302351957671,5.169191216410377,5.169191216410377,-0.45674111681042273
26,23,16,10.45881397518679,5.6259323332208,5.6259323332208,0.7732631966890917
27,23,16,12.095539696296687,4.852669136531708,4.852669136531708,-0.8753804507814502
28,23,16,10.22175589529863,5.7280495873131585,5.7280495873131585,-0.34709666394645033
29,21,16,10.529500249478096,6.075146251259609,6.075146251259609,-0.2859353581752311
30,21,15,10.031238038965054,6.36108160943484,6.36108160943484,0.517101065324499
31,22,15,10.396608150724978,5.843980544110341,5.843980544110341,-0.6858072497760102
32,22,15,9.28147476137039,6.529787793886351,6.529787793886351,0.8656495316669304
33,23,15,10.209158795121525,5.664138262219421,5.664138262219421,0.006095005368657702
34,24,14,9.769769382877623,5.658043256850763,5.658043256850763,0.7544262464591709
35,23,14,11.762982161546006,4.903617010391592,4.903617010391592,-0.2602902082633296
36,22,14,11.619108837441239,5.163907218654922,5.163907218654922,0.48926582797983986
37,22,14,12.802797016230997,4.674641390675082,4.674641390675082,-0.6900924682231793
38,22,13,11.127666584606581,5.364733858898261,5.364733858898261,0.7580635907041149
39,24,15,11.848760635245217,4.606670268194146,4.606670268194146,0.4549034053051155
40,24,14,13.180466059248674,4.151766862889031,4.151766862889031,-0.133614432335305
41,24,15,12.80192060674946,4.285381295224336,4.285381295224336,-0.1973293321278513
42,24,15,12.269362127549815,4.482710627352187,4.482710627352187,-1.0403073970536463
43,23,14,10.443775335405537,5.523018024405833,5.523018024405833,0.5262037383547833
